NormalisedCityPair;DepartureCode;ArrivalCode;Departure_lat;Departure_lon;Arrival_lat;Arrival_lon
Frankfurt - Tokyo;FRA;NRT;50.1;8.56;35.75;140.39
New York - St. Louis;STL;LGA;38.7;-90.36;40.77;-73.88
Bilbao - Madrid;MAD;BIO;40.5;-3.58;43.31;-2.91
Karachi - London;LHR;KHI;25.3;55.35;24.9;67.15
Jeddah - London;JED;LHR;21.7;39.15;51.47;-0.45
Glasgow - Southampton;GLA;SOU;55.9;-4.43;50.95;-1.36
Beijing - Newark;PEK;EWR;40.1;116.58;40.69;-74.18
Bombay - Delhi;BOM;DEL;19.1;72.86;28.66;77.26
Bermuda - London;LGW;BDA;51.2;-0.16;32.37;-64.69
Birmingham - Hamburg;BHX;HAM;52.5;-1.73;53.64;10.01
London - Nairobi;NBO;LHR;-1.3;36.81;51.47;-0.45
Dubai - Johannesburg;JNB;DXB;-26.1;28.23;25.25;55.35
Delhi - Singapore;DEL;SIN;28.7;77.26;1.34;103.98
Glasgow - Singapore;SIN;GLA;51.5;-0.45;55.86;-4.43
Perth - Sydney;SYD;PER;-33.9;151.23;-31.94;115.97
Dallas - Houston;HOU;DAL;29.6;-90.72;36.72;-84.09
London - Seoul;ICN;LHR;37.5;126.66;51.47;-0.45
Birmingham - Glasgow;GLA;BHX;55.9;-4.43;52.45;-1.73
Dubai - Singapore;DXB;SIN;25.3;55.35;1.34;103.98
Singapore - Sydney;SYD;SIN;-33.9;151.23;1.34;103.98
Bombay - Hong Kong;HKG;BOM;22.3;113.94;19.09;72.86
Dubai - New York;JFK;DXB;40.6;-73.79;25.25;55.35
Hong Kong - Kuala Lumpur;HKG;KUL;22.3;113.94;2.76;101.71
Gaborone - Johannesburg;GBE;JNB;-24.6;25.93;-26.13;28.23
Doha - London;DOH;LHR;25.3;51.56;51.47;-0.45
London - Toronto;YYZ;LHR;43.7;-79.61;51.47;-0.45
Nashville - New York;LGA;BNA;40.8;-73.88;36.13;-86.67
London - Osaka;KIX;LHR;41.9;12.5;51.47;-0.45
Jakarta-soekarno - Singapore;CGK;SIN;-6.1;106.66;1.34;103.98
New York - Tel Aviv;JFK;TLV;40.6;-73.79;32.01;34.89
Paris - Toulouse;TLS;ORY;43.6;1.38;48.73;2.37
Birmingham - Dubai;BHX;DXB;52.5;-1.73;25.25;55.35
Hamburg - Manchester;MAN;HAM;53.4;0.1;53.64;10.01
London - Munich;LCY;MUC;51.5;0.05;48.34;11.77
Seoul - Singapore;SIN;ICN;1.3;103.98;37.45;126.66
Columbus - New York;LGA;CMH;40.8;-73.88;40;-82.89
Hong Kong - Seoul;ICN;HKG;37.5;126.66;22.32;113.94
Johannesburg - New York;JFK;JNB;40.6;-73.79;-26.13;28.23
London - Tselinograd;LHR;TSE;50.1;8.56;51.03;71.48
Dubai - Manchester;MAN;DXB;53.4;0.1;25.25;55.35
Dubai - Riyadh;DXB;RUH;25.3;55.35;24.94;46.71
New York - Tokyo;NRT;JFK;35.8;140.39;40.64;-73.79
Newark - Shanghai;EWR;PVG;40.7;-74.18;31.12;121.8
Geneva - Zurich;ZRH;GVA;47.5;8.57;46.23;6.11
Isle Of Man - Jersey;IOM;JER;53.4;0.1;49.21;-2.19
Hong Kong - Seoul;HKG;ICN;22.3;113.94;37.45;126.66
New York - San Francisco;SFO;JFK;37.6;-122.39;40.64;-73.79
London - Tokyo;LHR;HND;51.5;-0.45;35.55;139.75
Madrid - Madrid;MAD;MAD;51.5;-0.45;40.46;-3.58
Geneva - New York;JFK;GVA;40.6;-73.79;46.23;6.11
Cincinnati - New York;LGA;CVG;40.8;-73.88;39.06;-84.66
Geneva - Sao Paulo;GVA;GRU;49;2.54;-23.42;-46.48
Abuja - London;LHR;ABV;51.5;-0.45;9.01;7.27
Ankara-esenboga - Istanbul;IST;ESB;41;28.99;40.11;32.99
Dubai - Manchester;MAN;DXB;53.4;0.1;25.25;55.35
London - Moscow;LHR;SVO;51.5;-0.45;55.96;37.42
Dubai - Kuwait;DXB;KWI;25.3;55.35;29.25;47.97
Bangkok - Singapore;SIN;BKK;1.3;103.98;13.71;100.77
Johannesburg - Sydney;JNB;SYD;-26.1;28.23;-33.92;151.23
Hanover - London;LHR;HAJ;51.5;-0.45;52.46;9.7
Delhi - Poona;DEL;PNQ;28.7;77.26;18.58;73.91
Casablanca-mohamed V. - London;LHR;CMN;51.5;-0.45;33.37;-7.58
Hong Kong - Shanghai;HKG;PVG;22.3;113.94;31.12;121.8
Bangkok - Hong Kong;HKG;BKK;22.3;113.94;13.71;100.77
London - Riyadh;RUH;LHR;24.9;46.71;51.47;-0.45
New York - Paris;JFK;CDG;40.6;-73.79;49.01;2.54
Johannesburg - Mauritius;MRU;JNB;-20.4;57.68;-26.13;28.23
Dublin - New York;DUB;JFK;53.3;-6.25;40.64;-73.79
New York - Zurich;ZRH;JFK;47.5;8.57;40.64;-73.79
Boston - New York;JFK;BOS;40.6;-73.79;42.21;-71
Manchester - Southampton;SOU;MAN;51;-1.36;53.37;0.1
Dubai - Geneva;GVA;DXB;46.2;6.11;25.25;55.35
New York - Zurich;ZRH;JFK;47.5;8.57;40.64;-73.79
Beirut - Geneva;GVA;BEY;46.2;6.11;33.82;35.49
Bombay - Dubai;BOM;DXB;19.1;72.86;25.25;55.35
Munich - Newark;MUC;EWR;48.3;11.77;40.69;-74.18
Milan - Rome;LIN;FCO;45.5;9.18;41.9;12.5
London - Los Angeles;LAX;LHR;34.1;-118.24;51.47;-0.45
Hong Kong - Sydney;SYD;HKG;-33.9;151.23;22.32;113.94
Milwaukee - New York;LGA;MKE;40.8;-73.88;42.95;-87.91
Hong Kong - Taipei;HKG;TPE;22.3;113.94;25.08;121.24
Copenhagen - Stockholm;CPH;ARN;55.6;12.64;60.74;15.85
Manchester - Philadelphia;MAN;PHL;53.4;0.1;45.05;-89.01
Montreal - Toronto Island;YUL;YTZ;45.5;-73.75;43.63;-79.4
Madrid - Milan;MAD;MIL;40.5;-3.58;37.72;15.12
Frankfurt - Singapore;FRA;SIN;50.1;8.56;1.34;103.98
Grand Cayman - London;GCM;LHR;19.3;-81.36;51.47;-0.45
Beirut - Dubai;DXB;BEY;25.3;55.35;33.82;35.49
New York - Prague;JFK;PRG;40.6;-73.79;50.08;14.43
Accra - Nairobi;ACC;NBO;5.6;-0.17;-1.28;36.81
Dubai - Karachi;KHI;DXB;24.9;67.15;25.25;55.35
Melbourne - Sydney;SYD;MEL;-33.9;151.23;-37.67;144.85
Addis Ababa - Nairobi;NBO;ADD;-1.3;36.81;8.98;38.8
Newark - Sao Paulo;GRU;EWR;-23.4;-46.48;40.69;-74.18
Ft. Lauderdale - New York;FLL;LGA;26.1;-80.13;40.77;-73.88
Gaborone - Johannesburg;JNB;GBE;-26.1;28.23;-24.56;25.93
Johannesburg - Singapore;SIN;JNB;1.3;103.98;-26.13;28.23
Boston - Los Angeles;BOS;LAX;42.2;-71;34.05;-118.24
Calgary - Houston;YYC;IAH;51.1;-114.01;29.98;-95.34
Detroit - Newark;DTW;EWR;37.3;-107.75;40.69;-74.18
London - Nairobi;NBO;LHR;-1.3;36.81;51.47;-0.45
Gaborone - London;GBE;LON;-26.1;28.23;51.47;-0.45
Barcelona - New York;BCN;JFK;41.3;2.08;40.64;-73.79
London - Luxembourg;LHR;LUX;51.5;-0.45;49.63;6.21
Boston - Newark;EWR;BOS;40.7;-74.18;42.21;-71
Atlanta - Johannesburg;ATL;JNB;42.9;-83.53;-26.13;28.23
Shanghai - Singapore;SIN;PVG;1.3;103.98;31.12;121.8
Manchester - New York;MAN;JFK;51.5;-0.45;40.64;-73.79
New York - San Francisco;SFO;JFK;37.6;-122.39;40.64;-73.79
Perth - Sydney;SYD;PER;-33.9;151.23;-31.94;115.97
Miami - Sao Paulo;GRU;MIA;-23.4;-46.48;33.4;-110.87
Singapore - Tokyo;NRT;SIN;35.8;140.39;1.34;103.98
Madras - Singapore;MAA;SIN;13.1;80.23;1.34;103.98
Shanghai - Singapore;SIN;PVG;1.3;103.98;31.12;121.8
Frankfurt - New York;FRA;JFK;50.1;8.56;40.64;-73.79
London - Madrid;LGW;MAD;51.2;-0.16;40.46;-3.58
London - Venice;VCE;LGW;45.4;12.32;51.16;-0.16
Hong Kong - Singapore;HKG;SIN;22.3;113.94;1.34;103.98
Bombay - Hong Kong;BOM;HKG;19.1;72.86;22.32;113.94
London - New York;LHR;JFK;51.5;-0.45;40.64;-73.79
Bloemfontein - Cape Town;BFN;CPT;-29.1;26.3;-33.97;18.59
Bombay - Hong Kong;BOM;HKG;19.1;72.86;22.32;113.94
Dubai - London;LHR;DXB;51.5;-0.45;25.25;55.35
Dubai - Singapore;SIN;DXB;1.3;103.98;25.25;55.35
Kuala Lumpur - London;LHR;KUL;1.3;103.98;2.76;101.71
New York - Salt Lake City;JFK;SLC;40.6;-73.79;40.76;-111.89
Melbourne - Sydney;MEL;SYD;-37.7;144.85;-33.92;151.23
Bombay - Dubai;BOM;DXB;19.1;72.86;25.25;55.35
Caracas - New York;JFK;CCS;18.4;-66.01;10.61;-66.99
Geneva - Zurich;ZRH;GVA;47.5;8.57;46.23;6.11
Beijing - Chicago;PEK;ORD;40.1;116.58;41.6;-98.93
Kuwait - London;LHR;KWI;51.5;-0.45;29.25;47.97
San Francisco - Seattle;SFO;SEA;37.6;-122.39;39.9;-75.59
Miami - New York;MIA;JFK;33.4;-110.87;40.64;-73.79
Delhi - Glasgow;DEL;GLA;51.5;-0.45;55.86;-4.43
Newark - Stockholm;EWR;ARN;40.7;-74.18;60.74;15.85
Copenhagen - London;CPH;LCY;55.6;12.64;51.5;0.05
Birmingham - New York;BHM;LGA;33.6;-86.75;40.77;-73.88
Hong Kong - Sydney;HKG;SYD;22.3;113.94;-33.92;151.23
Miami - Newark;MIA;EWR;33.4;-110.87;40.69;-74.18
Melbourne - Sydney;SYD;MEL;-33.9;151.23;-37.67;144.85
Singapore - Taipei;TPE;SIN;25.1;121.24;1.34;103.98
Dusseldorf - Newark;EWR;DUS;40.7;-74.18;51.28;6.78
Dallas - Manchester;MAN;DFW;51.5;-0.45;32.87;-97.04
Lisbon - Madrid;MAD;LIS;40.5;-3.58;38.77;-9.13
New York - Singapore;SIN;JFK;1.3;103.98;40.64;-73.79
Dar Es Salaam - Nairobi;DAR;NBO;-6.9;39.2;-1.28;36.81
Melbourne - Sydney;MEL;SYD;-37.7;144.85;-33.92;151.23
London - Mexico City;LHR;MEX;52.3;4.75;19.43;-99.16
Beijing - Johannesburg;JNB;PEK;-26.1;28.23;40.07;116.58
London - Washington Dc;IAD;LHR;39;-77.45;51.47;-0.45
Dubai - Nairobi;DXB;NBO;25.3;55.35;-1.28;36.81
Alma Ata - Frankfurt;FRA;ALA;50.1;8.56;43.36;77.03
Hamburg - Singapore;SIN;HAM;50.1;8.56;53.64;10.01
Manchester - New York;JFK;MAN;40.6;-73.79;53.37;0.1
Dubai - New York;DXB;JFK;25.3;55.35;40.64;-73.79
Manchester - Singapore;SIN;MAN;1.3;103.98;53.37;0.1
Dubai - Hong Kong;DXB;HKG;25.3;55.35;22.32;113.94
Ankara-esenboga - London;ESB;LHR;41;28.99;51.47;-0.45
Seoul - Singapore;SIN;ICN;1.3;103.98;37.45;126.66
Johannesburg - Nairobi;NBO;JNB;-1.3;36.81;-26.13;28.23
Gibraltar - London;LHR;GIB;51.5;-0.45;36.13;-5.35
Johannesburg - Singapore;SIN;JNB;1.3;103.98;-26.13;28.23
Hong Kong - Taipei;TPE;HKG;25.1;121.24;22.32;113.94
Abu Dhabi - New York;JFK;AUH;40.6;-73.79;24.42;54.64
Munich - New York;JFK;MUC;40.6;-73.79;48.34;11.77
Dubai - Manila;MNL;DXB;14.5;121.02;25.25;55.35
Bombay - Johannesburg;JNB;BOM;25.3;55.35;19.09;72.86
Frankfurt - Hong Kong;HKG;FRA;22.3;113.94;50.05;8.56
Jakarta-soekarno - Singapore;CGK;SIN;-6.1;106.66;1.34;103.98
Dubai - Madras;DXB;MAA;25.3;55.35;13.05;80.23
New York - West Palm Beach;LGA;PBI;40.8;-73.88;26.69;-80.09
Bangkok - Singapore;SIN;BKK;1.3;103.98;13.71;100.77
London - New York;LHR;JFK;51.5;-0.45;40.64;-73.79
Delhi - Madras;DEL;MAA;28.7;77.26;13.05;80.23
Birmingham - Edinburgh;EDI;BHX;56;-3.34;52.45;-1.73
Austin - New York;AUS;JFK;30.2;-97.67;40.64;-73.79
Bombay - Poona;PNQ;BOM;18.6;73.91;19.09;72.86
New York - Toronto;YYZ;LGA;43.7;-79.61;40.77;-73.88
Johannesburg - Lusaka;JNB;LUN;-26.1;28.23;-15.33;28.45
Frankfurt - Tselinograd;FRA;TSE;50.1;8.56;51.03;71.48
San Francisco - Shanghai;PVG;SFO;31.1;121.8;37.61;-122.39
London - Manchester;LHR;MAN;51.5;-0.45;53.37;0.1
Osaka - Tokyo;HND;ITM;35.6;139.75;34.79;135.44
Beijing - Singapore;SIN;PEK;1.3;103.98;40.07;116.58
Denver - Houston;IAH;DEN;30;-95.34;39.77;-104.86
Dubai - Singapore;SIN;DXB;1.3;103.98;25.25;55.35
London - Nice;NCE;LHR;43.7;7.21;51.47;-0.45
Delhi - New York;JFK;DEL;40.6;-73.79;28.66;77.26
Calgary - London;LHR;YYC;51.5;-0.45;51.13;-114.01
Bloemfontein - Durban;DUR;BFN;-30;30.95;-29.1;26.3
Amsterdam - Paris;CDG;AMS;49;2.54;52.31;4.75
Frankfurt - Zurich;FRA;ZRH;50.1;8.56;47.45;8.57
Copenhagen - Newark;CPH;EWR;55.6;12.64;40.69;-74.18
New Orleans - New York;LGA;MSY;40.8;-73.88;29.98;-90.26
Boston - Chicago;ORD;BOS;41.6;-98.93;42.21;-71
New York - Nice;JFK;NCE;40.6;-73.79;43.67;7.21
Charlottesville - New York;LGA;CHO;40.8;-73.88;37.23;-88.81
Geneva - London;GVA;LGW;46.2;6.11;51.16;-0.16
Copenhagen - Stockholm;ARN;CPH;60.7;15.85;55.63;12.64
New York - Sydney;SYD;JFK;-33.9;151.23;40.64;-73.79
Entebbe/kampala - Johannesburg;EBB;JNB;0;32.44;-26.13;28.23
Manila - Newcastle;NCL;MNL;25.3;55.35;14.51;121.02
Cairo - Dubai;CAI;DXB;30.1;31.25;25.25;55.35
Birmingham - Dubai;DXB;BHX;25.3;55.35;52.45;-1.73
Lisbon - London;LHR;LIS;51.5;-0.45;38.77;-9.13
Glasgow - London;LCY;GLA;51.5;0.05;55.86;-4.43
Milan - Zurich;MXP;ZRH;45.5;9.18;47.45;8.57
Denver - San Francisco;SFO;DEN;37.6;-122.39;39.77;-104.86
Chicago - Tokyo;NRT;ORD;35.8;140.39;41.6;-98.93
Seoul - Tokyo;HND;GMP;35.6;139.75;37.56;126.79
Dubai - Istanbul;DXB;IST;25.3;55.35;41.04;28.99
Beijing - San Francisco;SFO;PEK;37.6;-122.39;40.07;116.58
Dubai - Karachi;KHI;DXB;24.9;67.15;25.25;55.35
London - Stockholm;ARN;LHR;60.7;15.85;51.47;-0.45
Atlanta - London;ATL;LHR;42.9;-83.53;51.47;-0.45
Chicago - Dallas;DFW;ORD;32.9;-97.04;41.6;-98.93
Hong Kong - Paris;CDG;HKG;49;2.54;22.32;113.94
Geneva - Nairobi;GVA;NBO;47.5;8.57;-1.28;36.81
Hong Kong - Singapore;HKG;SIN;22.3;113.94;1.34;103.98
Amsterdam - Frankfurt;AMS;FRA;52.3;4.75;50.05;8.56
Boston - Philadelphia;PHL;BOS;45.1;-89.01;42.21;-71
Geneva - Zurich;ZRH;GVA;47.5;8.57;46.23;6.11
Glasgow - London;LHR;GLA;51.5;-0.45;55.86;-4.43
Edinburgh - Isle Of Man;IOM;EDI;54.1;-4.63;55.96;-3.34
London - Milan;LIN;LHR;45.5;9.18;51.47;-0.45
Chicago - Minneapolis;MSP;ORD;44.9;-93.2;41.6;-98.93
Dubai - Johannesburg;DXB;JNB;25.3;55.35;-26.13;28.23
New York - Richmond;RIC;LGA;45.8;-94.22;40.77;-73.88
Milan - New York;JFK;LIN;51.5;-0.45;45.47;9.18
London - Singapore;SIN;LHR;1.3;103.98;51.47;-0.45
Chicago - Des Moines;ORD;DSM;41.6;-98.93;41.53;-93.65
Durban - Port Elizabeth;PLZ;DUR;-34;25.61;-29.96;30.95
Newark - Tulsa;EWR;TUL;41.6;-98.93;34.23;-89.36
Geneva - Johannesburg;GVA;JNB;47.5;8.57;-26.13;28.23
Cincinnati - Newark;EWR;CVG;40.7;-74.18;39.06;-84.66
Johannesburg - Mahe Island;JNB;SEZ;-26.1;28.23;-4.68;55.52
Beijing - Shanghai;PEK;SHA;40.1;116.58;31.19;121.34
Melbourne - Singapore;SIN;MEL;1.3;103.98;-37.67;144.85
Bombay - Delhi;DEL;BOM;28.7;77.26;19.09;72.86
Beijing - New York;PEK;JFK;40.1;116.58;40.64;-73.79
Cleveland - Newark;EWR;CLE;40.7;-74.18;45.46;-120.2
London - Zurich;LHR;ZRH;51.5;-0.45;47.45;8.57
Frankfurt - Munich;FRA;MUC;50.1;8.56;48.34;11.77
Hong Kong - Seoul;ICN;HKG;37.5;126.66;22.32;113.94
Bombay - Madras;MAA;BOM;13.1;80.23;19.09;72.86
Frankfurt - Paris;FRA;CDG;50.1;8.56;49.01;2.54
Hong Kong - Seoul;ICN;HKG;37.5;126.66;22.32;113.94
Hong Kong - Manila;HKG;MNL;22.3;113.94;14.51;121.02
Hong Kong - Shanghai;PVG;HKG;31.1;121.8;22.32;113.94
George - Johannesburg;GRJ;JNB;-34;22.38;-26.13;28.23
Jakarta-soekarno - London;LHR;CGK;22.3;113.94;-6.13;106.66
Johannesburg - Kimberly;JNB;KIM;-26.1;28.23;-28.79;24.77
Delhi - London;DEL;LHR;28.7;77.26;51.47;-0.45
Budapest - London;LHR;BUD;51.5;-0.45;47.45;19.22
Bombay - Glasgow;BOM;GLA;51.5;-0.45;55.86;-4.43
Amsterdam - Frankfurt;FRA;AMS;50.1;8.56;52.31;4.75
Frankfurt - Paris;FRA;CDG;50.1;8.56;49.01;2.54
London - Muscat;MCT;LHR;23.6;58.29;51.47;-0.45
Atlanta - Philadelphia;ATL;PHL;42.9;-83.53;45.05;-89.01
London - Reykjavik;LHR;KEF;51.5;-0.45;63.99;-22.61
Madrid - New York;MAD;NYC;40.5;-3.58;40.71;-74.01
Lisbon - Manchester;MAN;LIS;53.4;0.1;38.77;-9.13
Singapore - Taipei;SIN;TPE;1.3;103.98;25.08;121.24
Athens - New York;ATH;JFK;37.9;23.72;40.64;-73.79
Manila - Philadelphia;PHL;MNL;37.3;-107.75;14.51;121.02
Milan - Paris;CDG;LIN;49;2.54;45.47;9.18
Bombay - Poona;PNQ;BOM;18.6;73.91;19.09;72.86
London - Mahe Island;SEZ;LHR;25.3;51.56;51.47;-0.45
London - New York;NYC;LHR;40.7;-74.01;51.47;-0.45
Hong Kong - Taipei;TPE;HKG;25.1;121.24;22.32;113.94
Bombay - Hong Kong;HKG;BOM;22.3;113.94;19.09;72.86
Philadelphia - San Diego;SAN;PHL;41.6;-98.93;45.05;-89.01
Glasgow - Newark;EWR;GLA;51.5;-0.45;55.86;-4.43
Bombay - Newark;EWR;BOM;40.7;-74.18;19.09;72.86
East London - Johannesburg;ELS;JNB;-33;27.83;-26.13;28.23
Kuala Lumpur - Singapore;KUL;SIN;2.8;101.71;1.34;103.98
London - San Francisco;SFO;LHR;37.6;-122.39;51.47;-0.45
Lima - Newark;LIM;EWR;-12;-77.11;40.69;-74.18
Glasgow - London;GLA;STN;55.9;-4.43;51.89;0.26
Accra - Nairobi;NBO;ACC;-1.3;36.81;5.6;-0.17
London - Montreal;YUL;LHR;45.5;-73.75;51.47;-0.45
Dubai - Sydney;SYD;DXB;-33.9;151.23;25.25;55.35
Lisbon - Sao Paulo;LIS;GRU;38.8;-9.13;-23.42;-46.48
Dubai - Madras;DXB;MAA;25.3;55.35;13.05;80.23
Los Angeles - Tokyo;LAX;NRT;34.1;-118.24;35.75;140.39
Aberdeen - London;LHR;ABZ;51.5;-0.45;57.2;-2.2
Frankfurt - Paris;CDG;FRA;49;2.54;50.05;8.56
London - Zurich;ZRH;LHR;47.5;8.57;51.47;-0.45
Dubai - Frankfurt;FRA;DXB;50.1;8.56;25.25;55.35
New York - Vancouver;YVR;JFK;49.2;-123.17;40.64;-73.79
Manchester - Newark;EWR;MAN;40.7;-74.18;53.37;0.1
London - Singapore;LHR;SIN;51.5;-0.45;1.34;103.98
Madrid - San Francisco;MAD;SFO;51.5;-0.45;37.61;-122.39
Edinburgh - Singapore;EDI;SIN;51.5;-0.45;1.34;103.98
Las Vegas - London;LAS;LGW;32;-87.96;51.16;-0.16
Chicago - Houston;ORD;IAH;41.6;-98.93;29.98;-95.34
Singapore - Sydney;SIN;SYD;1.3;103.98;-33.92;151.23
Lima - Santiago;LIM;SCL;-12;-77.11;-33.39;-70.79
Cairo - London;LHR;CAI;51.5;-0.45;30.05;31.25
Frankfurt - Singapore;FRA;SIN;50.1;8.56;1.34;103.98
Gothenburg - London;LHR;GOT;51.5;-0.45;59.56;16.49
New York - Sydney;JFK;SYD;40.6;-73.79;-33.92;151.23
New York - Tampa;TPA;LGA;28;-82.54;40.77;-73.88
Johannesburg - London;LHR;JNB;51.5;-0.45;-26.13;28.23
Houston - Paris;CDG;IAH;39;-77.45;29.98;-95.34
Hong Kong - San Francisco;SFO;HKG;37.6;-122.39;22.32;113.94
Bombay - Delhi;BOM;DEL;19.1;72.86;28.66;77.26
Los Angeles - Manila;LAX;MNL;37.5;126.66;14.51;121.02
Geneva - London;GVA;LHR;46.2;6.11;51.47;-0.45
Amsterdam - Johannesburg;JNB;AMS;-26.1;28.23;52.31;4.75
Hong Kong - Taipei;HKG;TPE;22.3;113.94;25.08;121.24
Fukuoka - Tokyo;HND;FUK;35.6;139.75;33.6;130.44
Dubai - Frankfurt;DXB;FRA;25.3;55.35;50.05;8.56
New York - Toronto;YYZ;LGA;43.7;-79.61;40.77;-73.88
Bogota - Lima;BOG;LIM;4.7;-74.14;-12.02;-77.11
Kuala Lumpur - Singapore;SIN;KUL;1.3;103.98;2.76;101.71
Dubai - Nairobi;NBO;DXB;-1.3;36.81;25.25;55.35
Manchester - Newark;MAN;EWR;53.4;0.1;40.69;-74.18
Chicago - Kansas City;ORD;MCI;41.6;-98.93;39.3;-94.72
Charlotte - Newark;CLT;EWR;35.2;-80.95;40.69;-74.18
Bombay - Hong Kong;HKG;BOM;22.3;113.94;19.09;72.86
Singapore - Tokyo;SIN;NRT;1.3;103.98;35.75;140.39
London - Newcastle;NCL;LHR;55;-1.71;51.47;-0.45
Moscow - Zurich;ZRH;DME;47.5;8.57;55.42;37.9
London - Raleigh/durham;RDU;LHR;35.9;-78.79;51.47;-0.45
Miami - Rio De Janeiro;MIA;GIG;33.4;-110.87;-22.81;-43.24
Austin - London;LHR;AUS;41.6;-98.93;30.2;-97.67
Houston - Tokyo;NRT;IAH;35.8;140.39;29.98;-95.34
Madrid - Paris;MAD;PAR;40.5;-3.58;49.01;2.54
Dubai - Newcastle;DXB;NCL;25.3;55.35;55.04;-1.71
New York - Seoul;ICN;JFK;37.5;126.66;40.64;-73.79
Philadelphia - Portland;PHL;PWM;45.1;-89.01;43.65;-70.31
Dubai - Paris;DXB;CDG;25.3;55.35;49.01;2.54
Dar Es Salaam - Dubai;DAR;DXB;-6.9;39.2;25.25;55.35
Chicago - Los Angeles;ORD;LAX;41.6;-98.93;34.05;-118.24
Bombay - Tokyo;NRT;BOM;35.8;140.39;19.09;72.86
Seoul - Tokyo;HND;GMP;35.6;139.75;37.56;126.79
Beijing - Singapore;PEK;SIN;40.1;116.58;1.34;103.98
Dublin - London;DUB;LHR;53.3;-6.25;51.47;-0.45
Bordeaux - Paris;ORY;BOD;48.7;2.37;41.73;8.88
Newark - Portland;EWR;PDX;40.8;-111.89;45.59;-122.59
Dublin - London;DUB;LCY;53.3;-6.25;51.5;0.05
Houston - Rio De Janeiro;IAH;GIG;30;-95.34;-22.81;-43.24
Edinburgh - Newark;EDI;EWR;56;-3.34;40.69;-74.18
Dublin - London;LGW;DUB;51.2;-0.16;53.34;-6.25
Philadelphia - Venice;PHL;VCE;51.5;-0.45;45.44;12.32
Hamburg - Munich;MUC;HAM;48.3;11.77;53.64;10.01
Newark - Vancouver;YVR;EWR;49.2;-123.17;40.69;-74.18
Singapore - Taipei;SIN;TPE;1.3;103.98;25.08;121.24
London - Zurich;LHR;ZRH;51.5;-0.45;47.45;8.57
Helsinki - Stockholm;ARN;HEL;60.7;15.85;60.31;24.97
Glasgow - Singapore;SIN;GLA;51.5;-0.45;55.86;-4.43
Singapore - Zurich;SIN;ZRH;1.3;103.98;47.45;8.57
Manila - Singapore;MNL;SIN;14.5;121.02;1.34;103.98
New York - Toronto;JFK;YYZ;40.6;-73.79;43.68;-79.61
Montreal - Toronto;YYZ;YUL;43.7;-79.61;45.46;-73.75
Johannesburg - Windhoek;JNB;WDH;-26.1;28.23;-22.48;17.47
Johannesburg - Sao Paulo;JNB;GRU;-26.1;28.23;-23.42;-46.48
Dubai - Dublin;DXB;DUB;25.3;55.35;53.34;-6.25
London - Stavanger;SVG;LHR;58.9;5.63;51.47;-0.45
London - St. Petersburg;LHR;LED;51.5;-0.45;59.77;30.33
Amsterdam - Frankfurt;AMS;FRA;52.3;4.75;50.05;8.56
Edinburgh - London;LHR;EDI;51.5;-0.45;55.96;-3.34
Bucharest-otopeni - London;OTP;LHR;44.6;26.07;51.47;-0.45
Milwaukee - Newark;MKE;EWR;43;-87.91;40.69;-74.18
Seoul - Singapore;SIN;ICN;1.3;103.98;37.45;126.66
London - New York;LHR;JFK;51.5;-0.45;40.64;-73.79
Atlanta - Johannesburg;ATL;JNB;42.9;-83.53;-26.13;28.23
Dubai - Mahe Island;DXB;SEZ;25.3;55.35;-4.68;55.52
Hong Kong - Perth;HKG;PER;13.7;100.77;-31.94;115.97
Newark - San Antonio;SAT;EWR;42.9;-83.53;40.69;-74.18
Paris - Zurich;ZRH;CDG;47.5;8.57;49.01;2.54
Beijing - Paris;CDG;PEK;49;2.54;40.07;116.58
Frankfurt - Paris;FRA;CDG;50.1;8.56;49.01;2.54
Chicago - Toronto;ORD;YYZ;41.6;-98.93;43.68;-79.61
Los Angeles - Washington Dc;IAD;LAX;39;-77.45;34.05;-118.24
London - New York;LHR;JFK;51.5;-0.45;40.64;-73.79
Amsterdam - New York;AMS;JFK;52.3;4.75;40.64;-73.79
Beijing - Singapore;PEK;SIN;40.1;116.58;1.34;103.98
Cologne - London;LHR;CGN;51.5;-0.45;50.88;7.11
Bombay - Hong Kong;BOM;HKG;19.1;72.86;22.32;113.94
Doha - Frankfurt;FRA;DOH;50.1;8.56;25.27;51.56
Chicago - Philadelphia;PHL;ORD;45.1;-89.01;41.6;-98.93
San Francisco - Santa Ana;SNA;SFO;37.4;-86.16;37.61;-122.39
Edinburgh - Madras;EDI;MAA;51.5;-0.45;13.05;80.23
London - Madrid;LHR;MAD;51.5;-0.45;40.46;-3.58
Dublin - Philadelphia;PHL;DUB;45.1;-89.01;53.34;-6.25
Barcelona - London;LHR;BCN;51.5;-0.45;41.3;2.08
Los Angeles - Oakland;OAK;LAX;40.2;-97.9;34.05;-118.24
New York - Orlando;LGA;MCO;40.8;-73.88;28.44;-81.31
Seoul - Singapore;SIN;ICN;1.3;103.98;37.45;126.66
London - Mauritius;MRU;LHR;49;2.54;51.47;-0.45
Hong Kong - Taipei;TPE;HKG;25.1;121.24;22.32;113.94
Berlin - London;LHR;TXL;51.5;-0.45;52.55;13.29
Melbourne - Sydney;SYD;MEL;-33.9;151.23;-37.67;144.85
Melbourne - Singapore;MEL;SIN;-37.7;144.85;1.34;103.98
